age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,water_intake_liters,workout_frequency_daysweek,experience_level,bmi,daily_meals_frequency,physical_exercise,carbs,proteins,fats,calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,name_of_exercise,sets,reps,benefit,burns_calories_per_30_min,target_muscle_group,equipment_needed,difficulty_level,body_part,type_of_muscle,workout,bmi_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_hrr,pct_maxhr,cal_balance,lean_mass_kg,expected_burn,burns_calories_per_30_min_bc,burns_calories_bin,age_group
18,Male,72,1,177,124,60,0,803,Strength,26,1,2,1,22,2,0,219,87,58,1802,Other,Lunch,Vegetarian,5,1193,252,366,Baked,12,43,1,Lunges,4,25,Improves posture and strengthens upper back,332,"Chest, Triceps",Low Bar or TRX,Beginner,Legs,Wrist Flexors,Barbell curls,22,1750,0,1,0,0,998,53,538,9223372036854775807,Low,<18
46,Male,60,1,164,147,62,1,1544,HIIT,21,2,4,2,21,1,0,247,99,66,1716,Other,Lunch,Vegetarian,16,1318,53,122,Fried,28,35,1,Deadlifts,4,23,Isolates and strengthens triceps,350,"Core, Shoulders, Legs",Wall,Intermediate,Chest,Lower,Military press,21,1985,0,1,0,0,171,46,819,9223372036854775807,High,46-60
50,Female,86,1,160,143,58,1,1326,Yoga,29,3,4,3,32,3,0,256,103,68,2212,Other,Breakfast,Balanced,10,1357,172,270,Raw,42,120,2,Prone Cobras,5,17,Strengthens back and legs,356,"Upper Chest, Triceps",Bench or Chair,Advanced,Chest,Posterior,Russian twists,32,2062,0,1,0,0,886,61,1212,9223372036854775807,High,46-60
24,Female,88,1,177,153,65,1,1831,Cardio,26,3,4,3,27,2,0,174,69,46,2410,Other,Lunch,Keto,0,299,187,124,Boiled,45,15,2,Lat Pulldowns,3,23,Builds chest strength,350,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises,27,1392,0,0,0,0,578,64,1234,9223372036854775807,High,18-30
50,Male,57,1,184,131,68,1,1177,Strength,22,2,3,2,15,2,0,177,71,47,1510,Other,Lunch,Keto,7,1250,138,220,Steamed,46,16,1,Prone Cobras,4,14,Strengthens lower body,360,Triceps,Kettlebell,Beginner,Forearms,Wrist Flexors,Barbell rows,15,1421,0,1,0,0,332,44,784,9223372036854775807,High,46-60
54,Female,87,1,188,157,68,1,1067,Yoga,28,3,3,2,28,3,0,296,118,79,2269,Other,Lunch,Keto,15,2425,235,353,Fried,25,66,2,Bear Crawls,5,16,Builds upper body strength,338,"Chest, Triceps",Cable Machine,Advanced,Chest,Middle,Skull crushers,28,2375,0,1,0,0,1201,62,1001,9223372036854775807,Medium,46-60
25,Female,105,1,174,155,67,1,1277,Cardio,30,2,2,2,29,4,0,198,79,52,3016,Other,Lunch,Balanced,43,2092,254,466,Raw,50,36,3,Mountain Climbers,3,15,Builds explosive power,355,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch,29,1587,0,0,0,0,1738,72,945,9223372036854775807,High,18-30
39,Male,102,1,192,133,50,0,792,Cardio,32,2,3,1,27,3,0,282,111,74,2624,Other,Lunch,Vegan,9,434,2,459,Baked,30,105,1,Russian Twists,5,22,Builds shoulder width,368,Core,Resistance Band,Beginner,Forearms,Posterior,Bicycle crunches,27,2249,0,1,0,0,1832,69,663,9223372036854775807,Very High,31-45
18,Male,58,1,174,150,70,1,2226,Strength,24,2,3,3,22,2,0,231,92,61,1549,Other,Snack,Low-Carb,30,276,266,269,Baked,59,21,1,Tricep Dips,4,24,Improves core stability and balance,334,"Back, Biceps",None or Dumbbells,Advanced,Arms,Anterior,Decline cable crossovers,22,1847,0,1,0,0,-677,44,1270,9223372036854775807,Low,<18
57,Female,76,1,173,140,55,1,827,Yoga,29,2,3,1,22,1,0,207,82,55,1981,Other,Breakfast,Vegetarian,4,365,281,161,Fried,7,66,4,Kettlebell Swings,3,16,Advanced core exercise,353,"Shoulders, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lats,Russian twists,22,1659,0,1,0,0,1153,54,813,9223372036854775807,High,46-60
49,Male,52,1,195,124,51,1,1324,Cardio,14,3,4,2,15,3,0,169,68,45,1497,Other,Snack,Paleo,41,2315,148,212,Baked,57,8,2,Resistance Band Pull-Aparts,5,16,Targets biceps and forearms,346,Full Body,Dumbbells,Beginner,Legs,Triceps,Hanging leg raises,15,1361,0,1,0,0,172,44,955,9223372036854775807,Medium,46-60
37,Male,76,1,191,121,49,1,1072,Yoga,22,2,3,2,23,3,0,188,76,50,1950,Other,Lunch,Balanced,2,2413,111,329,Roasted,39,61,2,Deadlifts,3,19,Improves back strength and posture,344,"Quadriceps, Calves, Glutes",Pull-up Bar,Beginner,Back,Grip Strength,Plate pinch,23,1512,0,0,0,0,877,59,1025,9223372036854775807,Medium,31-45
39,Male,79,1,167,166,74,1,1902,Strength,28,3,5,2,25,3,0,235,94,62,2030,Other,Dinner,Keto,27,1259,186,484,Steamed,41,13,3,Dead Bugs,5,21,Builds lower body power,348,Triceps,Resistance Band,Beginner,Shoulders,Posterior,Leg raises,25,1885,0,1,0,0,127,56,1135,9223372036854775807,Medium,31-45
58,Female,56,1,170,121,57,0,895,HIIT,23,2,1,1,19,3,0,205,83,55,1390,Other,Dinner,Low-Carb,8,1490,270,284,Roasted,48,89,3,Scissors Kicks,4,16,Strengthens core and improves mobility,357,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Lats,Standing calf raises,19,1652,0,1,0,0,494,43,529,9223372036854775807,High,46-60
48,Female,56,1,184,125,52,1,1311,Cardio,28,2,3,1,24,3,0,215,85,57,1489,Other,Breakfast,Paleo,35,1707,53,130,Roasted,18,96,1,Plyometric Push-ups,5,23,Improves unilateral leg strength and balance,330,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows,24,1719,0,1,0,0,177,40,905,9223372036854775807,Low,46-60
40,Male,51,1,198,128,70,0,566,Yoga,23,3,1,1,19,1,0,217,86,57,1325,Other,Snack,Keto,27,1959,37,145,Grilled,28,78,2,Push Ups,3,23,Strengthens back and improves posture,359,"Core, Obliques",Bench or Step,Intermediate,Back,Lower,Hammer curl,19,1731,0,1,0,0,758,39,618,9223372036854775807,High,31-45
41,Female,77,1,171,132,56,1,1849,HIIT,25,2,4,2,24,2,0,291,115,77,2334,Other,Snack,Paleo,22,790,88,392,Roasted,5,35,4,Leg Press,4,22,Builds calf muscles,331,"Legs, Shoulders, Core",Bench or Sturdy Surface,Advanced,Forearms,Wrist Flexors,Bent-over lateral raises,24,2326,0,1,0,0,484,57,928,9223372036854775807,Low,31-45
52,Female,51,1,169,124,51,1,1818,HIIT,22,1,1,1,18,3,0,282,112,74,1353,Other,Dinner,Paleo,29,1419,134,177,Baked,51,67,1,Bench Press,4,18,Targets lower abs,350,Shoulders,"Bench, Barbell",Intermediate,Shoulders,Anterior,Leg extensions,18,2254,0,2,0,0,-465,40,1052,9223372036854775807,High,46-60
36,Female,109,1,191,156,73,1,786,Yoga,33,3,1,1,35,3,0,306,122,82,2728,Other,Snack,Vegetarian,46,2000,252,161,Raw,20,62,2,Inverted Rows,4,22,Strengthens shoulders,369,"Shoulders, Triceps",Resistance Band,Intermediate,Arms,Wrist Extensors,Face pulls,35,2453,0,1,0,0,1941,73,879,9223372036854775807,Very High,31-45
33,Male,102,1,185,140,52,1,1003,Yoga,29,2,3,1,33,3,0,288,115,76,2657,Other,Snack,Balanced,3,459,251,332,Roasted,36,92,3,Bench Press,4,21,Full body workout,363,"Lower Chest, Triceps",Cable Machine,Beginner,Chest,Lats,Dumbbell rows,33,2306,0,1,0,0,1653,72,1018,9223372036854775807,Very High,31-45
25,Female,70,1,182,142,53,1,1011,Cardio,30,2,1,1,31,3,0,217,85,58,1839,Other,Snack,Paleo,4,2179,116,240,Fried,37,112,4,Seated Rows,5,21,Strengthens lower abs,368,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups,31,1736,0,1,0,0,827,48,848,9223372036854775807,Very High,18-30
40,Male,54,1,183,157,64,1,1209,Yoga,22,2,3,3,21,2,0,274,109,73,1549,Other,Lunch,Balanced,31,1792,43,315,Steamed,52,112,2,Calf Raises,4,18,Improves balance and leg strength,333,"Rear Deltoids, Upper Back",Kettlebell,Beginner,Chest,Triceps,Dumbbell rows,21,2196,0,2,0,0,340,42,1033,9223372036854775807,Low,31-45
32,Male,52,1,190,128,71,1,1248,Strength,23,2,2,1,19,3,0,247,98,66,1446,Other,Dinner,Vegetarian,2,107,201,143,Baked,9,42,4,Reverse Lunges,4,24,Targets obliques and improves core rotation,350,Lower Abs,Step or Box,Advanced,Back,Quads,Dumbbell rows,19,1976,0,1,0,0,197,40,882,9223372036854775807,High,31-45
52,Female,84,1,164,137,69,1,1308,Yoga,26,3,5,2,27,1,0,251,100,66,2285,Other,Breakfast,Paleo,8,1561,81,146,Grilled,10,87,4,Russian Twists,4,22,Improves flexibility,351,Calves,Box or Platform,Beginner,Back,Posterior,Crunches,27,2010,0,1,0,0,976,61,1182,9223372036854775807,High,46-60
58,Female,59,1,193,120,52,1,1787,Cardio,21,2,5,2,19,3,0,201,80,53,1789,Other,Lunch,Vegetarian,34,2130,126,450,Baked,59,65,2,Deadlift,5,14,Strengthens core and improves mobility,337,Core,None or Dumbbells,Beginner,Legs,Upper,Chest flyes,19,1616,0,1,0,0,1,46,1159,9223372036854775807,Low,46-60
29,Male,58,1,197,121,72,1,1296,Strength,27,2,2,2,22,1,0,220,87,58,1771,Other,Lunch,Balanced,9,312,4,433,Baked,51,26,2,Mountain Climbers,4,16,Improves balance and coordination,350,"Core, Lower Back",Pull-up Bar,Advanced,Shoulders,Quads,Dumbbell curls,22,1756,0,1,0,0,475,42,841,9223372036854775807,High,18-30
39,Female,71,1,197,146,50,0,665,HIIT,23,2,1,1,20,3,0,256,101,67,1934,Other,Breakfast,Low-Carb,25,755,122,106,Fried,40,114,4,Deadlift,5,20,Improves posture and back strength,367,"Glutes, Hamstrings",Dumbbells or Barbell,Advanced,Shoulders,Wrist Flexors,Pull-ups,20,2043,0,1,0,0,1268,54,404,9223372036854775807,Very High,31-45
39,Male,55,1,183,147,59,1,2039,Cardio,20,2,5,3,19,3,0,202,81,54,1656,Other,Snack,Vegetarian,7,1222,185,439,Raw,6,112,1,Bear Crawls,4,15,Targets obliques and improves core rotation,340,"Glutes, Hamstrings, Core",None or Dumbbell,Advanced,Forearms,Anterior,Plate pinch,19,1632,0,1,0,0,-383,44,1336,9223372036854775807,Medium,31-45
38,Female,44,1,193,143,57,1,1092,Strength,20,2,2,2,15,3,0,282,113,75,1242,Other,Breakfast,Vegan,12,1212,4,343,Fried,57,117,3,Tricep Extensions,3,17,Improves core stability and balance,338,"Triceps, Chest",Low Bar or TRX,Beginner,Legs,Posterior,Chest flyes,15,2268,0,2,0,0,149,35,682,9223372036854775807,Medium,31-45
26,Female,59,1,181,128,71,1,2420,HIIT,24,2,4,3,25,4,0,180,72,48,1872,Other,Snack,Paleo,43,1533,81,126,Baked,59,40,4,Resistance Band Pull-Aparts,4,19,Builds lower body power and endurance,355,Core,"Bench, Barbell",Beginner,Legs,Grip Strength,Incline dumbbell flyes,25,1448,0,1,0,0,-548,44,1201,9223372036854775807,High,18-30
45,Male,63,1,199,133,58,1,1727,Cardio,29,2,3,3,26,2,0,223,89,59,1918,Other,Snack,Vegetarian,27,1515,280,424,Raw,40,80,4,Lateral Raises,4,25,Targets biceps and forearms,368,Shoulders,Parallel Bars or Chair,Intermediate,Chest,Upper,Barbell squats,26,1781,0,1,0,0,190,45,1223,9223372036854775807,Very High,31-45
58,Female,109,1,197,156,55,1,1065,Yoga,30,2,3,2,30,3,0,306,122,81,2956,Other,Dinner,Vegan,15,109,31,392,Steamed,7,62,1,Decline Push-ups,4,15,Improves unilateral leg strength and balance,357,"Upper Chest, Triceps",Pull-up Bar,Advanced,Back,Wrist Extensors,Leg curls,30,2454,0,1,0,0,1890,75,1058,9223372036854775807,High,46-60
56,Male,85,1,189,132,50,1,1842,Cardio,28,3,5,3,29,3,0,200,80,53,2366,Other,Snack,Keto,11,322,277,361,Grilled,55,54,1,Burpees,5,23,Strengthens lower abs and hip flexors,346,"Back, Hamstrings, Glutes",Cable Machine or Resistance Band,Advanced,Chest,Lats,Crunches,29,1609,0,0,0,0,523,61,1227,9223372036854775807,Medium,46-60
33,Female,64,1,169,144,63,1,1438,Strength,22,1,4,2,20,2,0,211,84,57,1731,Other,Snack,Vegetarian,12,1487,167,488,Raw,8,118,0,Pull-ups,3,23,Targets obliques and improves core rotation,364,"Lower Back, Glutes",Kettlebell,Beginner,Forearms,Posterior,Military press,20,1701,0,1,0,0,292,49,968,9223372036854775807,Very High,31-45
52,Male,47,1,163,149,74,1,1399,HIIT,19,1,3,2,15,4,0,295,118,79,1410,Other,Snack,Vegan,30,1682,149,273,Raw,51,118,3,Kettlebell Swings,5,17,Improves lower back strength,344,"Chest, Triceps, Shoulders",Bench or Chair,Beginner,Back,Grip Strength,Lateral raises,15,2367,0,2,0,0,10,38,731,9223372036854775807,Medium,46-60
18,Female,64,1,161,120,73,0,580,Cardio,26,2,3,1,24,3,0,214,85,57,1758,Other,Lunch,Vegan,43,2069,4,396,Boiled,5,48,2,Push-ups,4,24,Improves posture and strengthens upper back,359,"Upper Chest, Triceps",Bench or Sturdy Surface,Intermediate,Abs,Wrist Flexors,Leg raises,24,1716,0,1,0,0,1177,46,473,9223372036854775807,High,<18
18,Female,62,1,190,161,50,1,1180,Cardio,26,2,4,2,24,3,0,217,86,58,1857,Other,Lunch,Keto,15,1253,212,295,Baked,53,106,2,Kettlebell Swings,5,17,Builds calf muscles,341,"Chest, Triceps",Resistance Band or Cable Machine,Beginner,Shoulders,Wrist Extensors,Preacher curls,24,1743,0,1,0,0,676,45,840,9223372036854775807,Medium,<18
36,Male,76,1,191,120,50,1,1431,Cardio,26,2,3,2,22,3,0,190,76,50,1891,Other,Snack,Vegan,2,2418,109,331,Grilled,39,60,2,Seated Rows,4,18,Strengthens triceps and chest,343,"Quadriceps, Hamstrings, Glutes",Barbell,Beginner,Abs,Wrist Extensors,Triceps dips,22,1523,0,1,0,0,459,55,1024,9223372036854775807,Medium,31-45
42,Female,60,1,194,140,52,1,2097,Strength,20,2,5,3,19,2,0,201,80,53,1844,Other,Snack,Keto,34,2080,206,428,Boiled,9,19,1,Plyometric Push-ups,5,15,Improves posture and strengthens upper back,364,Full Core,Parallel Bars or Chair,Advanced,Shoulders,Anterior,Plate pinch,19,1613,0,1,0,0,-253,47,1305,9223372036854775807,Very High,31-45
53,Female,55,1,170,140,53,1,814,Yoga,23,1,3,2,23,2,0,218,86,57,1686,Other,Snack,Vegetarian,39,1265,117,208,Boiled,39,9,1,Glute Bridges,5,23,Targets upper chest,331,"Core, Obliques",Bench or Step,Advanced,Arms,Lower Chest,Plate pinch,23,1738,0,1,0,0,871,42,748,9223372036854775807,Low,46-60
43,Male,82,1,181,159,69,1,2206,Strength,26,3,5,2,21,4,0,278,112,74,2381,Other,Dinner,Vegan,40,2464,99,163,Baked,56,43,1,Lateral Raises,4,20,Builds unilateral leg strength and balance,337,"Lower Back, Glutes",None or Dumbbells,Intermediate,Shoulders,Anterior,Bicycle crunches,21,2228,0,1,0,0,174,60,1277,9223372036854775807,Medium,31-45
19,Male,73,1,177,124,60,0,541,Yoga,21,1,2,1,22,3,0,218,88,58,2062,Other,Breakfast,Vegetarian,5,1170,248,364,Boiled,11,43,1,Bicycle Crunches,4,24,Targets lower abs,332,"Core, Lower Back",Low Bar or TRX,Advanced,Abs,Triceps,Concentration curls,22,1753,0,1,0,0,1520,57,544,9223372036854775807,Low,18-30
30,Male,51,1,174,150,64,1,784,Yoga,24,2,3,2,17,2,0,237,94,62,1524,Other,Breakfast,Balanced,7,2292,38,496,Baked,35,104,1,Thrusters,4,15,Targets obliques and improves core rotation,332,"Legs, Shoulders, Core",Pull-up Bar,Intermediate,Chest,Upper,Bird dog,17,1895,0,1,0,0,739,38,725,9223372036854775807,Low,18-30
51,Female,70,1,193,143,65,1,1732,HIIT,27,2,3,2,23,2,0,231,92,61,1946,Other,Dinner,Keto,18,289,234,152,Raw,22,94,1,Russian Twists,5,18,Enhances full-body coordination and stability,335,"Shoulders, Triceps",None or Dumbbell,Beginner,Arms,Lower Chest,Barbell hip thrusts,23,1844,0,1,0,0,213,51,878,9223372036854775807,Low,46-60
32,Female,62,1,190,160,58,1,2400,HIIT,25,2,5,2,23,3,0,217,87,57,1806,Other,Lunch,Paleo,36,1467,163,319,Grilled,5,44,3,Pull-ups,4,18,Full body workout,330,"Lower Abs, Hip Flexors",Wall,Intermediate,Legs,Upper,Incline dumbbell flyes,23,1742,0,1,0,0,-594,46,1111,9223372036854775807,Low,31-45
21,Female,51,1,196,139,66,1,1382,Strength,24,1,3,2,20,3,0,201,79,53,1252,Other,Lunch,Paleo,37,1836,17,304,Boiled,43,15,3,Pull-ups,5,21,Targets lower abs,331,"Back, Core, Shoulders",Bench or Chair,Beginner,Shoulders,Quads,Leg curls,20,1610,0,1,0,0,-130,38,848,9223372036854775807,Low,18-30
45,Female,51,1,170,136,50,1,1266,Cardio,23,2,2,1,18,3,0,233,93,61,1430,Other,Breakfast,Vegan,10,1454,247,151,Fried,38,30,4,Leg Press,3,22,Builds unilateral leg strength,335,Triceps,Kettlebell,Intermediate,Shoulders,Grip Strength,Bird dog,18,1859,0,1,0,0,163,39,965,9223372036854775807,Low,31-45
34,Male,66,1,199,163,55,0,792,Strength,26,2,2,1,25,3,0,208,83,55,1692,Other,Snack,Balanced,37,1702,231,215,Baked,11,114,4,Flutter Kicks,4,15,Strengthens core and improves mobility,347,"Glutes, Hamstrings, Core",Barbell,Beginner,Arms,Anterior,Incline cable crossovers,25,1669,0,1,0,0,899,48,556,9223372036854775807,Medium,31-45
58,Male,109,1,197,155,55,1,1067,Yoga,27,2,3,2,29,2,0,305,122,82,2768,Other,Breakfast,Paleo,15,84,29,390,Boiled,8,61,1,Burpees,4,15,Builds chest strength,357,"Core, Shoulders, Legs",None or Dumbbells,Advanced,Abs,Lats,Barbell rows,29,2453,0,1,0,0,1700,78,1057,9223372036854775807,High,46-60
45,Male,48,1,167,159,67,1,1352,Strength,26,2,4,2,18,3,0,219,87,58,1372,Other,Snack,Low-Carb,25,2341,54,370,Grilled,8,21,2,Flutter Kicks,5,24,Improves core stability and balance,348,"Shoulders, Upper Back",Cable Machine,Beginner,Arms,Lateral,Hammer curls,18,1752,0,1,0,0,19,35,870,9223372036854775807,Medium,31-45
25,Female,64,1,179,167,60,1,1355,HIIT,21,1,3,1,22,3,0,208,82,55,1688,Other,Lunch,Paleo,7,1430,110,208,Baked,57,71,3,Shoulder Press,5,14,Targets biceps and forearms,340,"Triceps, Chest",Dumbbells,Intermediate,Legs,Upper,Leg raises,22,1669,0,1,0,0,332,50,763,9223372036854775807,Medium,18-30
37,Female,54,1,170,150,61,1,1298,Strength,27,2,3,1,22,3,0,204,82,54,1576,Other,Dinner,Vegan,0,330,129,217,Steamed,55,66,1,Frog Jumps,5,20,Improves core rotation strength,344,"Upper Back, Rear Deltoids",Barbell,Advanced,Back,Wrist Extensors,Wrist extension,22,1636,0,1,0,0,277,39,901,9223372036854775807,Medium,31-45
36,Male,69,1,165,126,65,1,810,Yoga,26,2,2,1,25,2,0,256,101,68,1920,Other,Snack,Vegan,10,110,36,446,Steamed,51,36,1,Lat Pulldowns,4,14,Builds explosive power,341,"Upper Chest, Triceps",Dumbbells,Advanced,Chest,Lateral,Decline cable crossovers,25,2047,0,1,0,0,1109,50,841,9223372036854775807,Medium,31-45
18,Male,73,1,172,124,56,0,729,Cardio,32,2,3,1,30,1,0,188,75,50,1951,Other,Breakfast,Balanced,6,625,293,320,Raw,54,100,2,Glute Bridges,4,21,Builds explosive upper body power,367,"Back, Core, Shoulders",Wall,Advanced,Shoulders,Quads,Plate pinch,30,1510,0,1,0,0,1221,49,610,9223372036854775807,Very High,<18
32,Female,49,1,167,158,74,1,1556,HIIT,19,2,3,1,18,3,0,247,99,66,1346,Other,Breakfast,Vegan,25,302,60,386,Boiled,35,85,4,Superman,5,22,Builds unilateral leg strength,330,"Glutes, Hamstrings, Core",Cable Machine,Intermediate,Abs,Posterior,Pull-ups,18,1983,0,2,0,0,-210,39,780,9223372036854775807,Low,31-45
30,Male,61,1,172,120,52,1,1405,Strength,27,1,2,2,25,2,0,197,79,52,1620,Other,Breakfast,Vegan,44,1611,220,467,Raw,8,71,4,Resistance Band Pull-Aparts,4,24,Improves balance and leg strength,362,"Legs, Shoulders, Core",Pull-up Bar,Beginner,Forearms,Grip Strength,Fat grip dumbbell curl,25,1582,0,1,0,0,214,44,942,9223372036854775807,Very High,18-30
24,Male,60,1,170,164,62,1,1538,Yoga,19,2,3,3,18,2,0,222,89,59,1664,Other,Snack,Low-Carb,3,451,120,440,Baked,32,120,3,Squats,5,20,Improves back strength and posture,345,"Back, Biceps",Dumbbells,Advanced,Forearms,Lower Chest,Hanging leg raises,18,1781,0,1,0,0,125,48,1361,9223372036854775807,Medium,18-30
25,Male,76,1,180,119,59,0,663,Strength,24,2,2,1,19,1,0,240,97,64,2041,Other,Snack,Keto,45,383,68,178,Roasted,28,100,2,Thrusters,5,18,Improves posture and strengthens upper back,332,"Glutes, Hamstrings",Cable Machine,Advanced,Abs,Middle,Bicep Curls,19,1927,0,1,0,0,1377,58,445,9223372036854775807,Low,18-30
41,Male,76,1,165,157,65,1,1095,Cardio,25,2,2,2,19,4,0,194,78,51,2220,Other,Breakfast,Low-Carb,24,1837,154,223,Baked,57,91,2,Flutter Kicks,4,16,Activates and strengthens glutes,348,"Legs, Core",None or Dumbbells,Beginner,Chest,Lateral,Dumbbell flyes,19,1557,0,1,0,0,1124,57,794,9223372036854775807,Medium,31-45
31,Male,126,1,198,146,62,1,1178,Strength,35,2,3,2,37,2,0,306,123,81,3287,Other,Lunch,Balanced,44,115,181,289,Baked,7,54,2,Leg Press,5,18,Strengthens lower abs,362,"Shoulders, Upper Back",Resistance Band or Cable Machine,Beginner,Shoulders,Lower Chest,Seated calf raises,37,2451,0,0,0,0,2108,82,790,9223372036854775807,Very High,31-45
